"","dF/dx","Std. Err.","z","P>|z|"
"faixa_etaria25-34",-0.00412913729058472,0.00135330492610767,-3.05115071328442,0.00227966114449749
"faixa_etaria35-49",-0.0108889286876041,0.00130581289429441,-8.3388123483709,0.0000000000000000750403856065629
"faixa_etaria50-64",-0.0123760041285575,0.00119154540734478,-10.3865149009604,0.000000000000000000000000285598777191515
"faixa_etaria65+",-0.0101672004586868,0.00131262832952823,-7.745681111683,0.00000000000000950708349416663
"sexoMulher",0.0133994707048947,0.00123367141085344,10.861458397277,0.00000000000000000000000000175917017990828
"corParda",-0.00199980885458438,0.00121922414903872,-1.64023067961794,0.100957212608616
"corPreta",0.000416993390824603,0.00182469099585392,0.228528223009868,0.819235617757161
"casaCasa",-0.0204310472803654,0.00234831833491346,-8.70028861786248,0.00000000000000000331041143164428
"EstratoInterior Urbano",-0.0206659479837714,0.00209870074023843,-9.84701991453226,0.0000000000000000000000706064554083648
"EstratoRM da Capital",-0.00858927743662051,0.00114464095095773,-7.50390542067695,0.00000000000006194400589373
"decil_renda2",0.00241111226696097,0.0032616539857295,0.739229935949721,0.459767385802975
"decil_renda3",0.00497523341687294,0.0036099002574107,1.37821908144398,0.168135657630265
"decil_renda4",0.0105373330261653,0.0041114540794911,2.56292124937695,0.0103795588397288
"decil_renda5",0.0152301794371521,0.00460836723665302,3.30489708285782,0.000950112816207058
"decil_renda6",0.0135914790769398,0.00440166464800718,3.08780431128329,0.00201641203217502
"decil_renda7",0.0133374030658545,0.00433538881998405,3.07640297552449,0.0020951447696061
"decil_renda8",0.0206816149473003,0.00496763995045907,4.16326769926011,0.0000313725187817723
"decil_renda9",0.0282140238378624,0.00582472976871248,4.84383395593972,0.00000127357375981566
"decil_renda10",0.0354769423306554,0.0065365186805898,5.42749804050958,0.0000000571494941381298
"RMManaus",0.00507811084912635,0.00380191610315935,1.33567146442461,0.181656680290625
"RMBelém",-0.0123809752564664,0.00392941697392392,-3.1508428193363,0.00162800076302946
"RMSão Luís",0.00472105284125452,0.00581686477843927,0.811614679226089,0.417012765577445
"RMFortaleza",0.000098312942854395,0.00320120698634654,0.0307112108881772,0.975499850384911
"RMRecife",0.0218553366225007,0.00537078877992366,4.06929736358229,0.0000471551315693454
"RMMaceió",-0.00257346157242135,0.00376902073040894,-0.682793159416273,0.494737552801354
"RMSalvador",0.0138914920235645,0.00499520252788742,2.78096672677645,0.00541972916832894
"RMBelo Horizonte",0.0209673179242673,0.00553389263532673,3.7888913475513,0.000151321073012418
"RMVitória",0.00676349471930187,0.00452558343294744,1.49450227125675,0.13504438871902
"RMRio de Janeiro",0.00427734310484149,0.00292559426626055,1.46204248284528,0.143729568609293
"RMSão Paulo",0.00473706721354866,0.0033328467040902,1.42132766194591,0.155221525374469
"RMCuritiba",-0.00976134293282037,0.00289320272264324,-3.37388834056618,0.000741144243343265
"RMFlorianópolis",0.00257481656117853,0.00655505769301071,0.392798459107982,0.694468342841388
"RMPorto Alegre",0.0411499927158189,0.00793956650066484,5.18290170028465,0.000000218460190465741
"RMCampo Grande",0.0255076337834105,0.00774011845597675,3.29550948457567,0.000982433871227502
"RMCuiabá",0.0272331574145345,0.0103774805569946,2.62425520963072,0.00868386896011699
"RMGoiânia",0.0342078338349606,0.00948611257741618,3.60609612797554,0.000310838029136789
"RMBrasília",-0.0000732823123320465,0.00292116309404625,-0.0250866897782621,0.979985816860644
