"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","25-34","ride_hailing",0.759941439392841,0.561005732052733,1.02942083888044,0.076351333247583
"2","35-49","ride_hailing",0.442461589085414,0.33468869241267,0.584938368860706,0.0000000110942690250124
"3","50-64","ride_hailing",0.377508986281051,0.288116779534422,0.494636358747446,0.00000000000187583376176647
"4","65+","ride_hailing",0.512886988961053,0.330828042169265,0.795135326862487,0.00285549112085614
"5","25-34","transporte_pub",0.417054674466979,0.372998048712843,0.466315043992798,0.000000000000000000000000000000000000000000000000000960036073461344
"6","35-49","transporte_pub",0.357556344526297,0.32546326970529,0.392814032830107,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130547253680651
"7","50-64","transporte_pub",0.488878319541493,0.440304520332508,0.542810714587316,0.000000000000000000000000000000000000000411940190673024
"8","65+","transporte_pub",0.282301208539083,0.244362556006473,0.326130048911897,0.000000000000000000000000000000000000000000000000000000000000000710714286234312
"9","25-34","transporte_ind",2.59707128221069,2.31367838937676,2.9151757979208,0.00000000000000000000000000000000000000000000000000000000369652826685578
"10","35-49","transporte_ind",3.18494692824611,2.87479416338722,3.52856112793563,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000888720254391925
"11","50-64","transporte_ind",2.31374708563995,2.07705191476209,2.57741539258569,0.00000000000000000000000000000000000000000000000000531070053253455
"12","65+","transporte_ind",2.43817369690051,2.11582038325925,2.8096387686275,0.000000000000000000000000000000000296101490125758
"13","25-34","taxi",0.907352990819221,0.746686230372766,1.10259090962154,0.328244687539757
"14","35-49","taxi",0.901176564037122,0.750373096352463,1.08228720288272,0.265498600431708
"15","50-64","taxi",1.06125836192527,0.882299585525084,1.2765157427633,0.528083717298171
"16","65+","taxi",2.91070984414144,2.37681346188269,3.56453374766355,0.00000000000000000000000100496786037096
