"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","15-24_Interior Urbano","ride_hailing",0.353735576019063,0.219765946245814,0.569373280433439,1.9199703910462e-05
"2","15-24_RM da Capital","ride_hailing",0.970663280106965,0.62874391201709,1.49852298422319,0.893101664841723
"3","25-34_Capital","ride_hailing",0.847944545557242,0.611662944701475,1.17550026296132,0.32236981315537
"4","25-34_Interior Urbano","ride_hailing",0.363670827955997,0.215831643216934,0.612776093138801,0.000146990401862613
"5","25-34_RM da Capital","ride_hailing",0.365614983134316,0.208836354192818,0.640091215961782,0.000434108617128552
"6","35-49_Capital","ride_hailing",0.665628590227264,0.487026299192118,0.909727915849487,0.0107009274355217
"7","35-49_Interior Urbano","ride_hailing",0.11486100780378,0.0611467921679582,0.215760314579731,1.96720928964314e-11
"8","35-49_RM da Capital","ride_hailing",0.3550832393379,0.216882326076861,0.581348001653272,3.92628206938894e-05
"9","50-64_Capital","ride_hailing",0.537214779006349,0.377860547440864,0.763773092315246,0.000543736746988546
"10","50-64_Interior Urbano","ride_hailing",0.0770926678968569,0.0427631721060737,0.138981257721312,2.16828866725567e-17
"11","50-64_RM da Capital","ride_hailing",0.443190904938209,0.276127078086972,0.711332548697314,0.000756155935702487
"12","65+_Capital","ride_hailing",0.844084824398802,0.484463169275647,1.4706570818286,0.549631070578413
"13","65+_Interior Urbano","ride_hailing",0.143384215173542,0.0658574294562712,0.312174849985354,1.03354872704441e-06
"14","65+_RM da Capital","ride_hailing",0.104435305613949,0.0336923875588813,0.32371505401979,9.2270251981517e-05
"15","15-24_Interior Urbano","transporte_pub",0.254282810161802,0.209255410638175,0.308999166839164,3.41825283966969e-42
"16","15-24_RM da Capital","transporte_pub",0.731649320131926,0.581267163211856,0.920937499189857,0.00780908451974645
"17","25-34_Capital","transporte_pub",0.361290895909056,0.301155142917905,0.433434774522019,1.45226389087848e-27
"18","25-34_Interior Urbano","transporte_pub",0.10544989693966,0.0866154223936961,0.128379917308977,6.75119195167156e-105
"19","25-34_RM da Capital","transporte_pub",0.307292831084102,0.249756631647229,0.378083590465215,1.757556517243e-28
"20","35-49_Capital","transporte_pub",0.292394938795733,0.247390290796134,0.34558672435457,5.36723389904346e-46
"21","35-49_Interior Urbano","transporte_pub",0.0944931454183823,0.0797280437814159,0.111992645342451,7.59739281094114e-150
"22","35-49_RM da Capital","transporte_pub",0.250999758799687,0.205860589652242,0.306036619364241,1.36322732525915e-41
"23","50-64_Capital","transporte_pub",0.331926496907822,0.280607441568291,0.39263106756449,3.5827703049702e-37
"24","50-64_Interior Urbano","transporte_pub",0.150001335399681,0.125236468619824,0.179663327061634,8.9284407426977e-90
"25","50-64_RM da Capital","transporte_pub",0.313403427678994,0.258612549950074,0.379802559852197,8.6940142408717e-32
"26","65+_Capital","transporte_pub",0.138997302667717,0.107594886949579,0.179564760897557,3.59007287243259e-50
"27","65+_Interior Urbano","transporte_pub",0.103011710537634,0.083060032359347,0.127755939968582,1.76436798426831e-90
"28","65+_RM da Capital","transporte_pub",0.189463384986931,0.139254640433909,0.257775066876444,7.25601074585727e-26
"29","15-24_Interior Urbano","transporte_ind",4.463219884132,3.59417336901393,5.54239589716187,7.19016091882074e-41
"30","15-24_RM da Capital","transporte_ind",1.50229535312044,1.13799183099312,1.98322278468176,0.00409754833671419
"31","25-34_Capital","transporte_ind",3.25223490208546,2.65457235940562,3.98445791875535,1.43032366015447e-29
