"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","Belém","ride_hailing",0.435453627883346,0.0601096962528468,3.15456363710684,0.410634144808577
"2","Belo Horizonte","ride_hailing",5.0011711388935,3.45694936917105,7.23519788387846,0.0000000000000000182630765477911
"3","Brasília","ride_hailing",2.65104255572207,1.77158004457362,3.96709516669957,0.0000022038907908251
"4","Campo Grande","ride_hailing",4.77896352395469,2.8485106525913,8.01769596420963,0.00000000338206754809597
"5","Cuiabá","ride_hailing",7.43921866550375,3.48331082023705,15.8877508236297,0.000000228394812054553
"6","Curitiba","ride_hailing",1.03780708109445,0.360165226028546,2.99041511987728,0.945210232084153
"7","Fortaleza","ride_hailing",1.51158353810252,0.893027664414654,2.55858231912691,0.123973159196256
"8","Goiânia","ride_hailing",5.11739410529062,2.8650611733638,9.14037112796331,0.0000000367391652602862
"9","Manaus","ride_hailing",2.71366123249519,1.75369080250959,4.19911952221523,0.00000760895065012295
"10","Porto Alegre","ride_hailing",6.69403246189836,4.67257671610746,9.5900128180835,0.000000000000000000000000732738851978153
"11","Recife","ride_hailing",4.57634903763269,3.29509221572608,6.35580710436257,0.000000000000000000173715703092232
"12","Rio de Janeiro","ride_hailing",2.15712935450268,1.48208705688922,3.13963139373463,0.000060638929480753
"13","Salvador","ride_hailing",4.48172594044576,3.03235770037933,6.62384500441744,0.0000000000000644430080354972
"14","São Paulo","ride_hailing",2.28560598021758,1.52352857972598,3.42887870061876,0.0000659971317834184
"15","Belém","transporte_pub",1.39478991239956,1.03759688326149,1.87494674580793,0.0275469510114173
"16","Belo Horizonte","transporte_pub",2.65835828840933,2.23835509053005,3.15717055772465,0.000000000000000000000000000200628726830798
"17","Brasília","transporte_pub",1.78831401854501,1.56495480154815,2.0435523286429,0.0000000000000000188958328744261
"18","Campo Grande","transporte_pub",0.70927692122105,0.513160431929878,0.980344000968404,0.0375722211060597
"19","Cuiabá","transporte_pub",0.908224777727599,0.657779460684854,1.25402554530894,0.558708135399509
"20","Curitiba","transporte_pub",1.36603636015868,1.09209860204059,1.70868759816086,0.00633253579498472
"21","Fortaleza","transporte_pub",2.76965651598095,2.36398110111711,3.24494862200496,0.00000000000000000000000000000000000908811502543352
"22","Goiânia","transporte_pub",0.788310450958443,0.571988418962862,1.08644396719971,0.146197958993852
