"","OddsRatio","Std. Err.","z","P>|z|"
"faixa_etaria25-34",0.775627961084807,0.0688963372785932,-2.86043276369138,0.00423063251958839
"faixa_etaria35-49",0.501855706905314,0.0444962812319832,-7.77594694227131,0.00000000000000748850913162852
"faixa_etaria50-64",0.415123854547884,0.041829508932159,-8.72513013820426,0.0000000000000000026587469778633
"faixa_etaria65+",0.450166931880358,0.0638328571401609,-5.62868110479926,0.0000000181592771483316
"sexoMulher",2.08535260857446,0.132501943544637,11.566658921263,0.000000000000000000000000000000608046240166163
"corParda",0.890920022842027,0.0628913839206387,-1.63618298116933,0.101801297187447
"corPreta",1.02408919339705,0.105738680315218,0.230540383353312,0.817671887070607
"casaCasa",0.4271052797019,0.0305038884657173,-11.9115642652167,0.0000000000000000000000000000000103026125211483
"EstratoInterior Urbano",0.30803370072185,0.0367602700247086,-9.86728002274255,0.0000000000000000000000577082163348588
"EstratoRM da Capital",0.554637725209274,0.0504696300613012,-6.4776724158606,0.0000000000931483075006664
"decil_renda7",0.785513914241356,0.103654941359625,-1.82949789610476,0.0673250542038624
"decil_renda9",1.22278983548031,0.146292749951846,1.68118947665833,0.0927261168863698
"decil_renda10",1.45267878580754,0.166659008022004,3.2548120931345,0.00113467413152424
"decil_renda4",0.706514627086461,0.0978986939751155,-2.5071960310666,0.0121693200272379
"decil_renda5",0.837451750883698,0.112168244704398,-1.32441164349011,0.18536636972195
"decil_renda3",0.556938559006625,0.0830562261579558,-3.92476698954351,0.000086813727484096
"decil_renda2",0.490781831933036,0.0735101474338709,-4.75195223568991,0.00000201461970022592
"decil_renda6",0.791290467077295,0.10531122711707,-1.75891327039591,0.0785922408241163
"decil_renda1",0.430117191877597,0.0643935299058139,-5.63548588419932,0.0000000174565443524624
"RMManaus",1.29599026252101,0.224033528548246,1.49985578896849,0.13365176231035
"RMBelém",0.301012448881173,0.216045469578438,-1.67278049170808,0.0943705166616287
"RMSão Luís",1.2738873162969,0.339798843466443,0.907518855222136,0.364132483157437
"RMFortaleza",1.00566363566834,0.18446479800156,0.0307898521630711,0.975437133385305
"RMRecife",2.32553374093714,0.338327434186175,5.80098751261058,0.00000000659255102635343
"RMMaceió",0.852582590676194,0.214697611008631,-0.633329356581268,0.526518586463126
"RMSalvador",1.82199541111437,0.301997051508791,3.61948521056526,0.000295189680691594
"RMBelo Horizonte",2.26072463458089,0.343658986004295,5.36590092330361,0.0000000805461489948687
"RMVitória",1.39586301483473,0.268528646059321,1.73366339378706,0.0829778252238058
"RMRio de Janeiro",1.25066801919867,0.174030062718463,1.60746193281788,0.107953073575264
"RMSão Paulo",1.27698121287636,0.197433814367172,1.58139302632567,0.113788200993347
"RMCuritiba",0.449675335174585,0.158472309830914,-2.26786473925791,0.0233374520674379
"RMFlorianópolis",1.14881717251439,0.380137324447281,0.4192661184096,0.675021655383116
"RMPorto Alegre",3.55084937255705,0.519136768589635,8.66744536182481,0.0000000000000000044192359280213
"RMCampo Grande",2.52686170299598,0.47898562096328,4.89022082456056,0.0000010072291833538
"RMCuiabá",2.62542964973804,0.639869824874523,3.96046443393911,0.0000748041341652802
"RMGoiânia",3.06870192854621,0.598319684546998,5.75076566652565,0.00000000888401814435598
"RMBrasília",0.995780402343819,0.168163465445592,-0.0250392235595813,0.980023677530694
