"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-71911814025816.8,62881.517090057,-1143608127.69239,0
"2","faixa_etaria25-34",-114055540869910,30686.8333581188,-3716758244.12603,0
"3","faixa_etaria35-49",-169791522225274,28671.5967338809,-5921941627.5004,0
"4","faixa_etaria50-64",-223945270518193,30718.3385167856,-7290279400.88039,0
"5","faixa_etaria65+",-169477591611463,42287.7217604109,-4007725754.81059,0
"6","sexoMulher",126376967846226,18588.2215704981,6798765947.93785,0
"7","corParda",-25624028337671.1,20750.3086011471,-1234874566.45607,0
"8","corPreta",-17378569545920.8,31140.3316070667,-558072719.494646,0
"9","casaCasa",-30632139373080.1,26238.4635556138,-1167451718.66309,0
"10","EstratoInterior Urbano",-121835227162006,48569.6278758647,-2508465320.6196,0
"11","EstratoRM da Capital",-109290711446336,28041.2995799233,-3897490953.82815,0
"12","decil_renda7",-66615433776665.6,39935.6748019762,-1668068315.03369,0
"13","decil_renda9",8329204704221.44,39897.9220655994,208762869.668418,0
"14","decil_renda10",-3609536044966.29,39535.7058354498,-91298130.8589612,0
"15","decil_renda4",-138992596069673,41390.3402832752,-3358092615.77481,0
"16","decil_renda5",-79890942049168.9,41287.2119675599,-1935004526.6302,0
"17","decil_renda3",-177169690019350,41680.3567292779,-4250675951.98626,0
"18","decil_renda2",-371982185115632,41773.0923620672,-8904827583.54314,0
"19","decil_renda6",-92565955912301.9,40702.19724251,-2274225034.11252,0
"20","decil_renda1",-415936168792080,40823.4074120239,-10188668588.9325,0
"21","RMManaus",89493753595636.9,98147.2150441441,911831818.716251,0
"22","RMBelém",-810570447477518,96020.511925501,-8441638471.02181,0
"23","RMSão Luís",73299364806432.8,123284.763525047,594553314.70495,0
"24","RMFortaleza",-50308280703638.9,75581.0110647844,-665620636.650615,0
"25","RMRecife",184902330643700,73994.0814349447,2498880005.7781,0
"26","RMMaceió",-11073566314341,122132.669302583,-90668339.4179022,0
"27","RMSalvador",-561944598864736,71171.8031472077,-7895607164.8549,0
"28","RMBelo Horizonte",80666098372936.5,67586.3669835448,1193526179.51156,0
"29","RMVitória",-3396995423322.54,104022.114847675,-32656473.3691191,0
"30","RMRio de Janeiro",63813191309962,55775.6515594924,1144104811.43186,0
"31","RMSão Paulo",63483327560262.3,52768.0090734571,1203064672.61042,0
"32","RMCuritiba",-753565926882370,79851.1150400337,-9437137183.42651,0
"33","RMFlorianópolis",-159021143342990,123511.798748321,-1287497590.95506,0
"34","RMPorto Alegre",287900271615179,70485.2287188195,4084547597.39341,0
"35","RMCampo Grande",-2693068473507613,129725.154906788,-20759801562.3313,0
"36","RMCuiabá",-1988828582364819,133905.439104759,-14852485423.0072,0
"37","RMGoiânia",159271124153593,84846.321058623,1877171834.51652,0
"38","RMBrasília",-37830161998705.5,80605.0698022645,-469327327.567709,0
