Modo,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,Belem,0.001343183345,4.839890707,3.064129385,4.246588637,7.865201132,3.418861287,4.738212936,482.7553436,623.979308,864.77531,1489,2
Aplicativo,Belo Horizonte,0.06178643385,6.842451615,6.657403183,1.360376237,42.28593269,68.73952543,14.04626013,1659.249691,1627.067877,332.4756537,1489,92
Aplicativo,Brasil Urbano,0.2800537273,5.481040119,5.691411466,0.5469169844,35.23029804,55.82248041,5.364269098,1345.899835,1312.858238,126.1592969,1489,417
Aplicativo,Brasilia,0.05708529214,6.963695235,7.091896016,1.516599148,59.57347236,104.8262086,22.4170431,1985.437894,2236.698609,478.3171096,1489,85
Aplicativo,Campo Grande,0.03357958361,7.084958552,6.609101812,1.831915897,29.07347352,39.53797858,10.95916715,1453.099846,1457.980847,404.1242467,1489,50
Aplicativo,Cuiaba,0.01880456682,6.539445017,4.799017634,1.777548346,38.85019978,81.64943661,30.24281885,1465.690161,835.2948398,309.3918534,1489,28
Aplicativo,Curitiba,0.007387508395,6.704919586,7.284825795,4.515098843,33.36882366,40.55623011,25.13654997,1471.774751,1656.923183,1026.952759,1489,11
Aplicativo,Florianopolis,0.01343183345,6.555929588,7.878815329,3.452979617,61.12711045,84.03799958,36.83060048,1362.459927,1158.553126,507.7489651,1489,20
Aplicativo,Fortaleza,0.03760913365,5.650230999,7.062328163,1.849702876,23.07000548,19.61801463,5.138177841,1225.992596,1611.568804,422.0879267,1489,56
Aplicativo,Goiania,0.02753525856,7.073514771,6.410082674,1.986468701,29.23584074,45.27176305,14.02960693,1790.054463,1591.317856,493.1454515,1489,41
Aplicativo,Maceio,0.01678979181,3.766945992,2.656229575,1.041222861,57.08444078,65.01070448,25.4837279,1319.935005,1111.338246,435.6365878,1489,25
Aplicativo,Manaus,0.0362659503,6.040811635,3.719971263,0.9921807492,19.26014447,16.55372408,4.415164849,1236.760159,1115.963657,297.6468308,1489,54
