Modo,UF,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,AC,0.01141705843,3.340588957,2.409641581,1.145449849,87.71786425,127.1510527,60.44266308,1198.932975,1102.626045,524.1455191,1489,17
Aplicativo,AL,0.01813297515,3.79748206,2.553014964,0.9813293266,54.89863013,63.24769227,24.3111835,1295.147298,1079.187029,414.8185165,1489,27
Aplicativo,AM,0.03962390866,6.118213313,3.714588633,0.9478351515,19.12093579,15.97155281,4.075390488,1252.71527,1107.181974,282.5147272,1489,59
Aplicativo,AP,0.00604432505,5.689531444,5.649756905,3.691106688,51.02852204,95.39625703,62.3244094,961.9399596,537.1154512,350.9089802,1489,9
Aplicativo,BA,0.06447280054,4.308309503,3.049654056,0.6132490242,60.28394138,103.7230382,20.85746474,1276.134998,1121.653442,225.5511169,1489,96
Aplicativo,CE,0.04432505037,5.000534047,6.748280547,1.640531381,26.65459945,33.1110916,8.049425993,1099.987275,1531.144637,372.2267931,1489,66
Aplicativo,DF,0.05842847549,6.903556972,7.04078781,1.479482121,60.42778406,104.1045986,21.87551967,1983.644182,2245.618919,471.8723429,1489,87
Aplicativo,ES,0.03425117529,4.999636804,4.432362663,1.216461284,29.80147544,32.70127318,8.974859634,1405.539109,1497.31707,410.9384504,1489,51
Aplicativo,GO,0.03962390866,7.263192225,6.488146515,1.655551649,27.46412125,41.78531921,10.66217508,1678.731634,1582.897396,403.9009273,1489,59
Aplicativo,MA,0.0194761585,5.137945368,5.430911546,1.976613794,36.02510956,55.83793813,20.32256239,1148.98504,987.9262965,359.5618763,1489,29
Aplicativo,MG,0.08462055071,6.495242311,6.631414202,1.157894454,36.26560408,59.96857346,10.47096087,1497.881682,1623.258854,283.4331212,1489,126
Aplicativo,MS,0.0483546004,6.913835397,7.16143766,1.654177308,31.01848969,38.50990011,8.895169647,1402.33872,1421.547126,328.3546,1489,72
Aplicativo,MT,0.02014775017,6.503012012,4.741868081,1.72583217,38.73262814,78.99513752,28.75076811,1457.067781,835.4860865,304.0803205,1489,30
Aplicativo,PA,0.002686366689,3.947467824,3.403429643,3.335299765,18.49313046,22.32962023,21.88262574,498.0307643,689.9248719,676.1139511,1489,4
