Modo,condicao,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,Conjuge,0.2108797851,5.740035374,4.813272073,0.5323823862,36.3778189,61.09132844,6.757138744,1536.283191,1375.769136,152.1699261,1489,314
Aplicativo,Filho(a),0.2652787105,6.384040933,5.507811394,0.5438498844,35.0440466,50.04825066,4.941842302,1657.291073,1750.929185,172.8894777,1489,395
Aplicativo,Neto(a),0.02350570853,4.867074921,2.281046822,0.7667306646,20.02241867,15.59906806,5.243331136,998.1600596,676.8968939,227.5260641,1489,35
Aplicativo,Outro Parente,0.05708529214,8.774471383,10.02274568,2.143360186,30.7854643,23.35716965,4.994921456,2384.21456,2777.653687,594.0001382,1489,85
Aplicativo,Pai ou Mae,0.004701141706,5.559948061,2.316264097,1.715880927,16.01626383,6.792317176,5.031726524,1120.278616,810.7325161,600.5880172,1489,7
Aplicativo,Referencia,0.438549362,7.363896957,6.880731536,0.5281519735,44.02289396,75.60141605,5.803022088,1997.553697,1830.914754,140.5375629,1489,653
Taxi,Avo ou Avo,0.0009994003598,3.50296143,2.19089023,2.147032974,93.44787446,174.1754141,170.6887695,1047.590209,359.24665,352.055248,5003,5
Taxi,Conjuge,0.2290625625,4.338103415,4.3630321,0.252716592,40.84584242,74.40481632,4.309693621,1057.222412,1616.976322,93.65889043,5003,1146
Taxi,Filho(a),0.1908854687,4.767699213,5.25424078,0.333239425,41.53850696,86.550755,5.48930379,904.947344,1369.939354,86.88558853,5003,955
Taxi,Neto(a),0.0149910054,5.352950131,7.200678424,1.640611108,27.78768729,38.42047874,8.753767421,772.0371738,1079.608137,245.9791976,5003,75
Taxi,Outro Parente,0.03957625425,4.851189714,4.98363099,0.6959224649,37.46407841,92.26121681,12.88350874,1040.849693,1393.824121,194.635903,5003,198
Taxi,Pai ou Mae,0.0149910054,4.367333255,5.181780664,1.180623049,49.8398111,85.29345655,19.43336225,1590.578705,3437.544255,783.2141581,5003,75
Taxi,Referencia,0.5094943034,4.671598865,4.806635369,0.1866334814,70.00828495,146.7940285,5.699762616,1365.625415,1774.018108,68.88210778,5003,2549
Transporte Privado,Avo ou Avo,0.000135501355,4.728801252,5.497474167,4.818660028,408.1068262,1224.243681,1073.077183,3382.425126,4326.485975,3792.262482,36902,5.000271003
Transporte Privado,Conjuge,0.2054742547,4.881598471,4.107279204,0.09245074763,206.3630824,503.7959109,11.33994216,4435.975344,5070.280723,114.1269488,36902,7582.410949
Transporte Privado,Filho(a),0.1565853659,4.974104851,4.084435234,0.1053152678,155.3193169,365.2906252,9.418849321,3571.66474,4178.869104,107.7502014,36902,5778.313171
Transporte Privado,Neto(a),0.008888888889,4.416069577,3.486967993,0.3773628389,126.901734,269.9619593,29.2155281,2478.578158,2607.422199,282.1775953,36902,328.0177778
Transporte Privado,Outro Parente,0.01829268293,5.198535649,4.226726792,0.3188602496,170.9372523,354.4246474,26.73745834,4064.915252,4919.849084,371.1487361,36902,675.0365854
Transporte Privado,Pai ou Mae,0.005230352304,4.38332374,4.988414302,0.7037719488,294.337462,472.2757524,66.62927465,5001.980575,4477.363406,631.6722266,36902,193.0104607
Transporte Privado,Referencia,0.6054471545,5.104141496,4.371301583,0.05731889875,234.8699461,494.8979387,6.489372628,4965.418488,5523.488562,72.42700501,36902,22342.21089
Transporte Publico,Avo ou Avo,0.0001583468588,8.326097908,6.315032037,6.188617682,21.52080032,35.70602785,34.99126434,1538.3372,1438.951452,1410.146512,25262,4.000158347
Transporte Publico,Conjuge,0.2424290408,9.6829127,8.863792686,0.2219985257,42.66323972,112.5972176,2.82005877,1301.547069,1420.584249,35.57930787,25262,6124.242429
Transporte Publico,Filho(a),0.2634099996,11.89311587,10.20513215,0.2452027441,28.78959775,72.45694998,1.740951778,1374.69644,1410.409212,33.88845964,25262,6654.26341
Transporte Publico,Neto(a),0.02347492182,11.02119886,9.666279093,0.7780008563,28.62085141,64.35040287,5.1793113,1115.797396,1330.385724,107.0775241,25262,593.0234749
Transporte Publico,Outro Parente,0.04081390285,11.39605816,10.49947539,0.6408942258,48.88047963,104.0216472,6.349543246,1487.950556,1331.177038,81.25583854,25262,1031.040814
Transporte Publico,Pai ou Mae,0.01219270813,8.2305969,9.182297492,1.025472674,51.05745348,128.8398683,14.38874796,1119.132431,1047.303433,116.9621277,25262,308.0121927
Transporte Publico,Referencia,0.4175606666,10.38468745,9.968165334,0.1902296739,47.02786404,132.5534165,2.529612256,1406.062049,1622.439296,30.96217688,25262,10548.41756
