Modo,cor,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop_total,pop
Aplicativo,"Amarela, Indigena ou outra",0.01678979181,8.372114919,6.410408203,0.3256015233,28.37379629,31.30274357,1.589948825,3518.173266,3822.497661,194.154728,1489,25
Aplicativo,Branca,0.4929482874,6.852941806,6.339217433,0.3219855565,39.79918779,66.28680668,3.366881569,1862.795236,1800.320219,91.44300752,1489,734
Aplicativo,Parda,0.3807924782,6.723994547,5.949410925,0.3021862568,38.30097519,58.7773228,2.985455096,1698.851637,1653.976764,84.00983786,1489,567
Aplicativo,Preta,0.1094694426,6.58221672,7.404637064,0.3761010268,37.11574674,68.83755987,3.496441044,1621.089722,1634.467264,83.01889897,1489,163
Taxi,"Amarela, Indigena ou outra",0.01079352389,3.517421516,3.379346982,0.09364091013,79.19224378,76.54088413,2.120929899,1194.801257,2232.112541,61.85131358,5003,54
Taxi,Branca,0.3274035579,4.65097698,4.798380538,0.1329619962,76.3991453,154.9647822,4.294037671,1431.122791,1695.376126,46.97847376,5003,1638
Taxi,Parda,0.55546672,4.618389788,4.906685733,0.1359631077,42.92590592,101.6622167,2.817036117,1021.909362,1693.465967,46.92554369,5003,2779
Taxi,Preta,0.1063361983,4.671380296,4.97585354,0.1378797314,36.67944376,69.24914968,1.918877652,1073.171002,1554.756721,43.0819431,5003,532
Transporte Privado,"Amarela, Indigena ou outra",0.01157181572,5.266399224,4.422144977,0.04511865198,255.4043157,766.3618587,7.819104569,5341.552375,6322.639451,64.50918512,36902,427.0231436
Transporte Privado,Branca,0.4358807588,5.089173926,4.134001491,0.04217875612,241.105961,511.2788654,5.216521239,5273.651166,5631.534362,57.45791698,36902,16084.87176
Transporte Privado,Parda,0.4591869919,5.001262738,4.396311779,0.04485507874,179.6508337,427.9848075,4.366681256,3870.935493,4840.669357,49.38880954,36902,16944.91837
Transporte Privado,Preta,0.09341463415,4.781317473,4.236551823,0.04322506573,212.6929825,474.7602931,4.843926319,3877.930641,4496.389878,45.87616442,36902,3447.186829
Transporte Publico,"Amarela, Indigena ou outra",0.01274692213,10.48947314,9.78982191,0.1207227215,50.64088443,142.3980119,1.755974285,1394.968621,1501.984034,18.52164441,25262,322.0127469
Transporte Publico,Branca,0.3389018645,10.98335462,9.96494763,0.122882276,43.89203305,127.0496904,1.566707192,1457.744278,1642.97885,20.26031525,25262,8561.338902
Transporte Publico,Parda,0.5135584498,9.959358882,9.451918528,0.1165558821,39.90116017,106.7723584,1.316658241,1270.92191,1434.735157,17.6923681,25262,12973.51356
Transporte Publico,Preta,0.1348323503,11.96845091,10.74614221,0.1325155397,34.17724598,86.42061031,1.06569163,1417.768941,1323.602897,16.32194594,25262,3406.134832
