Modo,escolaridade,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,Ensino Fundamental,0.03693754197,6.030388501,5.598507363,1.493218855,40.14005905,66.89899374,17.84312002,1549.114711,1266.787146,337.8740669,1489,55
Aplicativo,Ensino Medio,0.2330423103,5.931337339,5.55427544,0.584400753,34.30841206,44.27885563,4.658860882,1570.652866,1423.002166,149.723136,1489,347
Aplicativo,Pos-graduacao,0.03425117529,8.403371046,8.043725819,2.207599373,37.53268263,54.29437628,14.90108362,2008.125016,1859.510929,510.3425022,1489,51
Aplicativo,Graduacao,0.2981867025,7.343963221,7.288862912,0.6787440108,43.27341894,75.15858444,6.998819934,2149.838704,2170.519457,202.1202895,1489,444
Aplicativo,NA,0.39758227,6.71895285,5.818815134,0.4691253599,37.28794194,63.01978222,5.080790047,1668.047735,1666.343378,134.3441781,1489,592
Taxi,Ensino Fundamental,0.07375574655,4.556722416,4.687065639,0.4782290391,34.58980582,62.09405102,6.335558458,1074.859975,1961.754081,200.1610051,5003,369
Taxi,Ensino Medio,0.2286628023,4.99422625,5.170210258,0.2996010176,37.89579207,71.07615386,4.118688982,1051.624208,1578.094253,91.44669569,5003,1144
Taxi,Pos-graduacao,0.01119328403,5.313350058,6.695424985,1.753606823,100.6821886,110.6469972,28.97968831,2000.658195,1956.524368,512.4356539,5003,56
Taxi,Graduacao,0.1479112532,4.749965822,5.088423571,0.3668674051,109.6782541,209.4322535,15.09973891,1707.364698,2138.320286,154.1695583,5003,740
Taxi,NA,0.5384769139,4.392337214,4.631566243,0.1748949121,44.76615602,105.9119741,3.999395548,1040.657863,1526.090404,57.62747052,5003,2694
Transporte Privado,Ensino Fundamental,0.09512195122,4.731872558,4.133283246,0.1367381503,235.6573083,593.3865834,19.63054042,4282.61063,4894.137073,161.9088775,36902,3510.190244
Transporte Privado,Ensino Medio,0.263604336,5.139537314,4.416833301,0.08777475824,206.7653171,459.0431711,9.122464131,4480.903228,5282.349878,104.9749791,36902,9727.527209
Transporte Privado,Pos-graduacao,0.009945799458,5.070915993,3.668996374,0.375372404,370.9297282,524.3553796,53.64642516,7846.871047,6677.285552,683.1483258,36902,367.0198916
Transporte Privado,Graduacao,0.1574254743,5.473342546,4.370575253,0.1123921568,269.5961749,570.9823119,14.6831778,6366.690185,6342.026786,163.0893024,36902,5809.314851
Transporte Privado,NA,0.4739566396,4.804862177,4.17819782,0.06192337244,184.3208218,417.3733803,6.185721306,3799.942481,4619.272946,68.46036768,36902,17489.94791
Transporte Publico,Ensino Fundamental,0.08606151775,9.07921175,8.901280427,0.374171586,47.53118336,111.1737477,4.673266711,1256.558773,1413.477524,59.4165223,25262,2174.086062
Transporte Publico,Ensino Medio,0.2776612169,12.55250659,10.95167831,0.2562983965,34.59298028,103.7098971,2.427087391,1489.491677,1484.811311,34.74853326,25262,7014.277661
Transporte Publico,Pos-graduacao,0.004077431614,5.881822157,7.341327292,1.417764394,151.7677855,357.1045942,68.96439276,1576.740411,2238.985256,432.3950492,25262,103.0040774
Transporte Publico,Graduacao,0.09461224813,11.05375451,10.31592859,0.4135780376,58.93814956,150.0320136,6.014964644,1676.25509,1947.980963,78.09690972,25262,2390.094612
Transporte Publico,NA,0.5376271723,9.802824264,9.154670946,0.1539660455,37.99632663,103.9185926,1.747734555,1244.344216,1405.501845,23.6381583,25262,13581.53763
