Modo,decil_renda,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,1,0.05305574211,5.317896433,2.807374513,0.1425939486,20.33378534,20.9964986,4.659589601,1078.155509,950.3955811,210.9138981,1489,79
Aplicativo,2,0.05439892545,5.171792536,5.091420741,0.2586066747,33.85997661,34.84861721,7.589114966,1172.628697,1051.066018,228.8946158,1489,81
Aplicativo,3,0.07186030893,4.774166155,3.09302471,0.1571028748,31.50456145,65.32602527,12.43601947,1045.826932,952.4361561,181.313872,1489,107
Aplicativo,4,0.07454667562,6.349155162,5.03692797,0.2558388432,28.51612741,46.19888657,8.594450424,1455.152039,988.5591366,183.9031873,1489,111
Aplicativo,5,0.06850235057,5.514607039,5.170232444,0.2626097287,25.61355376,19.07481966,3.720042017,1277.429476,1134.125896,221.181435,1489,102
Aplicativo,6,0.0920080591,7.675746708,6.696291698,0.3401222992,29.79055256,32.60415909,5.459599828,2112.632232,1882.48415,315.2238986,1489,137
Aplicativo,7,0.1087978509,6.903880028,6.239467008,0.3169189696,41.1069613,53.99847869,8.315188687,2128.721681,2326.1756,358.2061848,1489,162
Aplicativo,8,0.1269308261,7.073310611,6.420694513,0.326123992,36.20939527,73.54540284,10.48510347,1688.88252,1547.058903,220.5586215,1489,189
Aplicativo,9,0.1417058428,7.489637246,8.505262309,0.432004683,41.32153774,51.12912547,6.898826583,2101.794205,2178.185778,293.9014859,1489,211
Aplicativo,10,0.2081934184,7.402827636,6.73260532,0.3419667637,53.3587191,94.68821577,10.54054769,2138.552348,2032.882379,226.2973644,1489,310
Taxi,1,0.1437137717,4.531719369,4.240998329,0.1175170663,28.11686181,73.80694847,5.394868908,721.7255321,1174.315311,85.83578228,5003,719
Taxi,2,0.1245252848,4.600626573,4.7566687,0.131806171,27.70068785,52.59451798,4.129947655,863.2352047,1223.851099,96.1020496,5003,623
Taxi,3,0.1075354787,4.735546854,4.996154403,0.1384422635,36.44922395,80.43781067,6.803324563,957.6921592,1843.909616,155.9554577,5003,538
Taxi,4,0.1053367979,4.5644386,4.564527073,0.1264819717,41.03719387,84.33867051,7.207455505,1029.068782,1216.798938,103.985801,5003,527
Taxi,5,0.08295022986,4.763449742,5.282730224,0.1463832121,39.09959388,82.15131918,7.903848092,1018.508438,1379.30801,132.7043934,5003,415
Taxi,6,0.09034579252,4.29395167,5.006984016,0.1387423496,44.08607329,72.38477022,6.680470039,957.4561422,1327.75093,122.5395933,5003,452
Taxi,7,0.08095142914,4.176580377,4.517147982,0.1251691083,55.87608237,98.57330571,9.600191603,1221.455022,1784.228306,173.768481,5003,405
Taxi,8,0.08434939037,4.283456425,4.569849603,0.1266294578,56.67762907,92.12259422,8.799808129,1267.358165,1585.59109,151.4601003,5003,422
Taxi,9,0.08714771137,4.880462008,5.503985914,0.1525141553,148.9537499,291.5045953,27.36215206,1852.480501,1849.360865,173.5907222,5003,436
Taxi,10,0.09314411353,5.176143633,5.445718585,0.1508995813,83.03287453,123.8368405,11.24358988,1942.440698,2890.360716,262.4261922,5003,466
Transporte Privado,1,0.07924119241,4.725912141,4.382690538,0.04471610274,130.2306877,329.3612845,11.93801046,2425.094511,3391.681634,122.9347003,36902,2924.158482
Transporte Privado,2,0.0779403794,4.645053823,4.276625873,0.04363393679,133.5516431,247.3119762,9.038550697,2762.724348,3881.516036,141.8583928,36902,2876.155881
Transporte Privado,3,0.08108401084,4.722813758,4.242359685,0.04328432269,160.3573239,327.7350922,11.74330235,3159.528001,3483.229609,124.8100049,36902,2992.162168
Transporte Privado,4,0.08574525745,5.042365044,4.224048817,0.04309749895,156.4217841,425.9520207,14.84193539,3444.101086,3867.081447,134.7451596,36902,3164.171491
Transporte Privado,5,0.09162601626,4.814939145,4.188025864,0.04272996078,188.7196426,469.2011923,15.81556142,3684.227131,4087.731333,137.7868748,36902,3381.183252
Transporte Privado,6,0.09829268293,5.014886737,4.382847664,0.04471770588,201.2874114,461.2191005,15.0100313,4063.071337,4621.873024,150.4154071,36902,3627.196585
Transporte Privado,7,0.1060433604,5.003055961,4.300431658,0.04387682456,200.5743885,385.1160641,12.06659682,4493.974223,4897.169451,153.4398973,36902,3913.212087
Transporte Privado,8,0.1173712737,5.025292947,4.208735711,0.04294126104,247.2577414,545.2814346,16.23957693,5055.885666,5074.127985,151.1177284,36902,4331.234743
Transporte Privado,9,0.1265853659,5.285766535,4.071530531,0.04154137189,258.8001001,504.7680135,14.47554701,5789.265016,5349.316399,153.4056813,36902,4671.253171
Transporte Privado,10,0.136097561,5.462308457,4.408330777,0.04497770724,330.5223903,666.6819976,18.43862217,7611.85061,7593.51599,210.0161288,36902,5022.272195
Transporte Publico,1,0.1669371759,8.773173495,8.481260232,0.1045862557,26.75023095,74.89983213,2.26061776,1010.57346,1061.583783,32.04059454,25262,4217.166937
Transporte Publico,2,0.132377974,10.2411332,9.562954721,0.1179251196,34.63903805,81.05613556,2.747266886,1240.9093,1224.741607,41.51063997,25262,3344.132378
Transporte Publico,3,0.122243775,11.36024092,9.985692501,0.1231380904,35.4178689,84.76032507,2.989524102,1324.527744,1382.835093,48.77304137,25262,3088.122244
Transporte Publico,4,0.1152369265,11.09531108,9.860500714,0.1215942938,34.76459563,88.11155894,3.200809843,1408.777283,1597.605974,58.0358921,25262,2911.115237
Transporte Publico,5,0.1028462848,11.82685537,10.372107,0.1279031423,37.33909109,92.86999552,3.571115877,1556.969421,1544.188945,59.3784637,25262,2598.102846
Transporte Publico,6,0.09405803412,11.8325689,11.00498901,0.1357074966,41.90260983,118.1646498,4.75129992,1414.021216,1355.013816,54.48395138,25262,2376.094058
Transporte Publico,7,0.08542813032,10.98138136,9.651027461,0.1190111844,45.86880463,113.2578773,4.778491184,1503.00061,1573.495551,66.38774094,25262,2158.085428
Transporte Publico,8,0.07588773208,10.9276724,10.26447471,0.1265758799,46.35155099,149.0700449,6.673096684,1426.371047,1592.293776,71.27877584,25262,1917.075888
Transporte Publico,9,0.06112188749,10.62670887,9.991126845,0.1232051037,58.66327737,151.3479127,7.549199097,1515.88073,1655.09536,82.55577608,25262,1544.061122
Transporte Publico,10,0.04378290646,9.037391449,9.465762965,0.1167266041,93.7500167,233.8741734,13.78328682,1792.249228,2638.172946,155.4797345,25262,1106.043783
