Modo,decil_renda,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,1,Belo Horizonte,0.002686366689,3.279117368,2,1.959963986,19.17093744,8.411810645,8.243422961,740.9672789,667.3251364,653.9666172,1489,4
Aplicativo,1,Brasil Urbano,0.01544660846,4.873528811,2.614526495,1.068506628,16.04464655,14.1936396,5.800667165,700.1951425,1048.292367,428.4169027,1489,23
Aplicativo,1,Brasilia,0.004701141706,4.960535417,2.899552967,2.147979429,45.80511811,50.27349036,37.24243853,1718.686116,1388.966188,1028.941645,1489,7
Aplicativo,1,Campo Grande,0.003357958361,6.334160135,4.839651043,4.242063232,14.34678754,5.663730857,4.964387764,873.2233729,468.7122336,410.8368381,1489,5
Aplicativo,1,Fortaleza,0.002686366689,2.295149871,2.309401077,2.26317147,32.82583384,25.25857016,24.75294393,524.710924,896.5601835,878.6128355,1489,4
Aplicativo,1,Manaus,0.003357958361,4.333333333,0,0,19.75673607,22.97325075,20.13657213,1027.350276,1194.609039,1047.101751,1489,5
Aplicativo,1,Porto Alegre,0.00604432505,7.655981282,3.75277675,2.451769092,17.90035063,9.103522136,5.947525178,1555.187298,877.0576959,573.0004993,1489,9
Aplicativo,1,Recife,0.004029550034,4.333333333,0,0,17.50494345,18.53705262,16.24814447,910.2570594,963.9267365,844.9035127,1489,6
Aplicativo,1,Rio de Janeiro,0.00604432505,4.96591772,1.444444444,0.9436863637,18.57154961,8.24165605,5.384449681,1084.899478,487.2080732,318.3034257,1489,9
Aplicativo,1,Vitoria,0.002014775017,7.598788621,2.501851166,3.467325102,15.15061528,7.804359893,10.81609223,1246.842982,283.0430902,392.2705015,1489,3
Aplicativo,2,Brasil Urbano,0.02081934184,3.945899457,5.570124267,1.960794719,52.19725154,48.4619311,17.05956529,1061.795,788.9281008,277.7184098,1489,31
Aplicativo,2,Brasilia,0.001343183345,4.333333333,0,0,9.533943034,1.71119841,2.371556423,495.7650378,88.98231734,123.320934,1489,2
Aplicativo,2,Campo Grande,0.001343183345,4.333333333,0,0,29.11321627,18.13021787,25.1267383,1513.887246,942.7713292,1306.590392,1489,2
Aplicativo,2,Cuiaba,0.002014775017,4.333333333,0,0,10.60760137,5.926584176,8.213675682,551.5952714,308.1823772,427.1111355,1489,3
Aplicativo,2,Fortaleza,0.002686366689,4.333333333,0,0,11.43291264,5.987906562,5.868040607,594.5114573,311.3711412,305.1381116,1489,4
