ESTRATO_POF,pos_estrato,tot_pop,uf,COD_UPA
1101,111,514303,11,110000016
1101,111,514303,11,110000584
1102,111,514303,11,110001098
1102,111,514303,11,110001278
1108,111,514303,11,110001665
1101,111,514303,11,110002149
1108,111,514303,11,110004444
1101,111,514303,11,110004557
1102,111,514303,11,110005362
1101,111,514303,11,110005539
1101,111,514303,11,110006466
1102,111,514303,11,110008064
1101,111,514303,11,110008539
1101,111,514303,11,110009624
1101,111,514303,11,110013477
1101,111,514303,11,110015166
1102,111,514303,11,110015989
1102,111,514303,11,110017920
1101,111,514303,11,110018159
1101,111,514303,11,110018880
1101,111,514303,11,110019110
1102,111,514303,11,110020158
1101,111,514303,11,110020616
1101,111,514303,11,110021380
1108,111,514303,11,110021994
1102,111,514303,11,110022472
1107,113,1223886,11,110000602
1105,113,1223886,11,110000620
1107,113,1223886,11,110001197
1107,113,1223886,11,110001240
1106,113,1223886,11,110002023
1111,113,1223886,11,110002041
1106,113,1223886,11,110002050
1103,113,1223886,11,110002291
1103,113,1223886,11,110002334
1111,113,1223886,11,110004152
1110,113,1223886,11,110004584
1103,113,1223886,11,110004906
1109,113,1223886,11,110005150
1103,113,1223886,11,110005400
1105,113,1223886,11,110005482
1103,113,1223886,11,110005695
1106,113,1223886,11,110005954
1104,113,1223886,11,110006066
1105,113,1223886,11,110006184
1104,113,1223886,11,110006375
1109,113,1223886,11,110006493
1105,113,1223886,11,110006893
1110,113,1223886,11,110007136
1110,113,1223886,11,110007280
1105,113,1223886,11,110007860
1109,113,1223886,11,110008082
1111,113,1223886,11,110008133
1111,113,1223886,11,110008778
1110,113,1223886,11,110009642
1106,113,1223886,11,110009955
1103,113,1223886,11,110010188
1103,113,1223886,11,110010509
1106,113,1223886,11,110010600
1104,113,1223886,11,110011003
1105,113,1223886,11,110012387
1104,113,1223886,11,110012448
1107,113,1223886,11,110012518
1107,113,1223886,11,110012642
1111,113,1223886,11,110013199
1109,113,1223886,11,110013527
1103,113,1223886,11,110014602
1104,113,1223886,11,110016081
1103,113,1223886,11,110016218
1107,113,1223886,11,110017035
1107,113,1223886,11,110017062
1110,113,1223886,11,110017115
1104,113,1223886,11,110017124
1110,113,1223886,11,110017170
1105,113,1223886,11,110017213
1104,113,1223886,11,110017222
1110,113,1223886,11,110017886
1106,113,1223886,11,110018411
1103,113,1223886,11,110018420
1106,113,1223886,11,110018605
1105,113,1223886,11,110019509
1106,113,1223886,11,110019744
1106,113,1223886,11,110019802
1103,113,1223886,11,110019980
1109,113,1223886,11,110020039
